"Entry","Name","Origin","Cluster"
1,"CDC Asterix AGL","Canada",7
2,"CDC Rosie AGL","Canada",8
3,"3156-11 AGL","Canada",8
4,"CDC Greenstar AGL","Canada",7
5,"CDC Cherie AGL","Canada",7
6,"CDC Glamis AGL","Canada",8
7,"CDC Gold AGL","Canada",7
8,"CDC Imax AGL","Canada",7
9,"CDC Impower AGL","Canada",7
10,"CDC KR-1 AGL","Canada",3
11,"CDC LeMay AGL","Canada",7
12,"CDC Maxim AGL","Canada",3
13,"CDC QG-1 AGL","Canada",8
14,"CDC Red Rider AGL","Canada",8
15,"CDC Redcoat AGL","Canada",7
16,"CDC Redwing AGL","Canada",7
17,"CDC Robin AGL","Canada",7
18,"CDC Rosebud AGL","Canada",3
19,"CDC Rosetown AGL","Canada",8
20,"CDC Rouleau AGL","Canada",7
21,"CDC Royale AGL","Canada",7
22,"CDC Ruby AGL","Canada",3
23,"CDC SB-1 AGL","Canada",4
24,"CDC Sedley AGL","Canada",3
25,"CDC Vantage AGL","Canada",3
26,"CN 105604 AGL","Ethiopia",2
27,"CN 105605 AGL","Eritrea",4
28,"CN 105715 AGL","Ethiopia",4
29,"CN 105732 AGL","Ethiopia",3
30,"CN 105767 AGL","Libya",2
31,"CN 105777 AGL","Egypt",1
32,"CN 105789 AGL","Ethiopia",2
33,"CN 105791 AGL","Egypt",1
34,"CN 105862 AGL","Tunisia",7
35,"CN 105863 AGL","Tunisia",7
36,"CN 105864 AGL","Tunisia",7
37,"CN 105865 AGL","Tunisia",7
38,"CN 105895 AGL","Egypt",2
39,"CN 106265 AGL","Egypt",7
40,"CN 108369 AGL","Libya",7
41,"CN 108370 AGL","Libya",8
42,"Crimson AGL","USA",3
43,"DPL 62 AGL","India",2
44,"Eston AGL","Canada",4
45,"Gudo AGL","Ethiopia",2
46,"IG 1046 AGL","Egypt",4
47,"IG 1706 AGL","Ethiopia",6
48,"IG 1959 AGL","Ethiopia",4
49,"IG 4258 AGL","India",2
50,"IG 4781 AGL","Algeria",7
51,"IG 858 AGL","Algeria",4
52,"ILL 10657 AGL","Turkey",2
53,"ILL 10748 AGL","ICARDA",1
54,"ILL 11547 AGL","Ethiopia",1
55,"ILL 11548 AGL","Ethiopia",1
56,"ILL 11553 AGL","India",2
57,"ILL 11555 AGL","India",1
58,"ILL 11557 AGL","India",1
59,"ILL 11558 AGL","India",1
60,"ILL 1220 AGL","Iran",4
61,"ILL 1553 AGL","Iran",4
62,"ILL 1762 AGL","Afghanistan",6
63,"ILL 1983 AGL","Ethiopia",2
64,"ILL 213 AGL","Afghanistan",5
65,"ILL 2194 AGL","Pakistan",5
66,"PI 431893 LSP AGL","Iran",3
67,"ILL 2507 AGL","India",2
68,"ILL 2580 AGL","India",2
69,"ILL 28 AGL","Syria",5
70,"ILL 3025 AGL","India",2
71,"ILL 313 AGL","Israel",5
72,"ILL 3347 AGL","India",2
73,"ILL 358 AGL","Ethiopia",5
74,"ILL 3597 AGL","India",2
75,"ILL 4164 AGL","India",5
76,"ILL 4400 AGL","Syria",5
77,"ILL 4605 AGL","Argentina",1
78,"ILL 4609 AGL","Netherlands",5
79,"ILL 4665 AGL","Hungary",3
80,"ILL 4671 AGL","USA",7
81,"ILL 4768 AGL","Yemen",2
82,"ILL 4782 AGL","Unknown",2
83,"ILL 4783 AGL","Czech Republic",7
84,"ILL 4804 AGL","Libya",5
85,"ILL 4875 AGL","Uzbekistan",8
86,"ILL 4956 AGL","Portugal",7
87,"ILL 5058 AGL","Spain",7
88,"ILL 5151 AGL","India",5
89,"ILL 5209 AGL","Jordan",5
90,"ILL 5480 AGL","Czech Republic",7
91,"ILL 5639 AGL","Ethiopia",4
92,"ILL 5722 AGL","Turkey",2
93,"ILL 5883 AGL","Jordan",5
94,"ILL 5888 AGL","Bangladesh",1
95,"ILL 5945 AGL","Ethiopia",2
96,"ILL 6002 AGL","ICARDA",1
97,"ILL 618 AGL","Tajikistan",4
98,"ILL 6182 AGL","Tunisia",5
99,"ILL 6211 AGL","ICARDA",1
100,"ILL 624 AGL","Macedonia",7
101,"ILL 6821 AGL","Ethiopia",5
102,"ILL 6853 AGL","Syria",5
103,"ILL 7089 AGL","Russia",4
104,"ILL 7558 AGL","India",1
105,"ILL 7663 AGL","ICARDA",1
106,"ILL 7668 AGL","ICARDA",2
107,"ILL 7716 AGL","India",1
108,"ILL 7747 AGL","Syria",5
109,"ILL 7946 AGL","Syria",5
